Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1271;1;FLAMENGO/RJ;BRAGANTINO/SP;Domingo;0;0;0;0,680851064;0,204255319;0,114893617;0,680851064;0,204255319;0,114893617;0;0;0
1271;2;MIRASSOL/SP;BOTAFOGO/RJ;Domingo;0;0;0;0,42081448;0,280542986;0,298642534;0,42081448;0,298642534;0,280542986;0;0;0
1271;3;REMO/PA;SANTOS/SP;Domingo;0;0;0;0,356744705;0,286510591;0,356744705;0,356744705;0,356744705;0,286510591;0;0;0
1271;4;VASCO DA GAMA/RJ;CORITIBA/PR;Domingo;0;0;0;0,527991954;0,265504526;0,20650352;0,527991954;0,265504526;0,20650352;0;0;0
1271;5;SAO PAULO/SP;INTERNACIONAL/RS;Domingo;0;0;0;0,487065952;0,274528082;0,238405966;0,487065952;0,274528082;0,238405966;0;0;0
1271;6;GREMIO/RS;PALMEIRAS/SP;Domingo;0;0;0;0,28;0,28;0,44;0,44;0,28;0,28;0;0;0
1271;7;CORINTHIANS/SP;FLUMINENSE/RJ;Domingo;0;0;0;0,411703673;0,298817182;0,289479145;0,411703673;0,298817182;0,289479145;0;0;0
1271;8;VITORIA/BA;CRUZEIRO/MG;Domingo;0;0;0;0,346245401;0,286734473;0,367020126;0,367020126;0,346245401;0,286734473;0;0;0
1271;9;ATLETICO/MG;CHAPECOENSE/SC;Domingo;0;0;0;0,667082973;0,211063204;0,121853823;0,667082973;0,211063204;0,121853823;0;0;0
1271;10;ATHLETICO/PR;BAHIA/BA;Domingo;0;0;0;0,472454473;0,280609323;0,246936204;0,472454473;0,280609323;0,246936204;0;0;0
1271;11;TOTTENHAM;ASTON VILLA;Domingo;0;0;0;0,479807336;0,26732123;0,252871434;0,479807336;0,26732123;0,252871434;0;0;0
1271;12;BRIGHTON;ARSENAL;Domingo;0;0;0;0,21380937;0,257165159;0,52902547;0,52902547;0,257165159;0,21380937;0;0;0
1271;13;ROMA;INTER DE MILAO;Domingo;0;0;0;0,379490151;0,265643105;0,354866744;0,379490151;0,354866744;0,265643105;0;0;0
1271;14;JUVENTUS;ATALANTA;Domingo;0;0;0;0,586592179;0,234636872;0,17877095;0,586592179;0,234636872;0,17877095;0;0;0
