Concurso;Jogo;Mandante;Visitante;Palpite;Tipo;Cobertura
1271;1;FLAMENGO/RJ;BRAGANTINO/SP;1;SECO;0.698324022
1271;2;ATLETICO/MG;CHAPECOENSE/SC;1;SECO;0.661375661
1271;3;SPORT/PE;JUVENTUDE/RS;X2;DUPLO;0.598786654
1271;4;MIRASSOL/SP;BOTAFOGO/RJ;X2;DUPLO;0.577147298
1271;5;SEVILLA/ESP;BARCELONA/ESP;2;SECO;0.787965616
1271;6;REMO/PA;SANTOS/SP;1X;DUPLO;0.636952999
1271;7;VASCO DA GAMA/RJ;CORITIBA/PR;1;SECO;0.608234560
1271;8;SAO PAULO/SP;INTERNACIONAL/RS;1;SECO;0.485194435
1271;9;GREMIO/RS;PALMEIRAS/SP;2;SECO;0.489082969
1271;10;VITORIA/BA;CRUZEIRO/MG;1X;DUPLO;0.627612772
1271;11;CORINTHIANS/SP;FLUMINENSE/RJ;1;SECO;0.452717796
1271;12;ATLETICO MADRID/ESP;REAL MADRID/ESP;2;SECO;0.481751825
1271;13;LONDRINA/PR;FORTALEZA/CE;1X2;TRIPLO;0.999999999
1271;14;ATHLETICO/PR;BAHIA/BA;1X;DUPLO;0.720338983
