Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1271;1;FLAMENGO/RJ;BRAGANTINO/SP;Domingo;0;0;0;0,698324022;0,189944134;0,111731844;0,698324022;0,189944134;0,111731844;0;0;0
1271;2;ATLETICO/MG;CHAPECOENSE/SC;Domingo;0;0;0;0,661375661;0,211640212;0,126984127;0,661375661;0,211640212;0,126984127;0;0;0
1271;3;SPORT/PE;JUVENTUDE/RS;Domingo;0;0;0;0,401213347;0,304145602;0,294641052;0,401213347;0,304145602;0,294641052;0;0;0
1271;4;MIRASSOL/SP;BOTAFOGO/RJ;Domingo;0;0;0;0,422852701;0,279828993;0,297318305;0,422852701;0,297318305;0,279828993;0;0;0
1271;5;SEVILLA/ESP;BARCELONA/ESP;Domingo;0;0;0;0,085959885;0,126074499;0,787965616;0,787965616;0,126074499;0,085959885;0;0;0
1271;6;REMO/PA;SANTOS/SP;Domingo;0;0;0;0,339708266;0,297244733;0,363047002;0,363047002;0,339708266;0,297244733;0;0;0
1271;7;VASCO DA GAMA/RJ;CORITIBA/PR;Domingo;0;0;0;0,60823456;0,2448534;0,14691204;0,60823456;0,2448534;0,14691204;0;0;0
1271;8;SAO PAULO/SP;INTERNACIONAL/RS;Domingo;0;0;0;0,485194435;0,278273279;0,236532287;0,485194435;0,278273279;0,236532287;0;0;0
1271;9;GREMIO/RS;PALMEIRAS/SP;Domingo;0;0;0;0,238427948;0,272489083;0,489082969;0,489082969;0,272489083;0,238427948;0;0;0
1271;10;VITORIA/BA;CRUZEIRO/MG;Domingo;0;0;0;0,3308667;0,296746072;0,372387228;0,372387228;0,3308667;0,296746072;0;0;0
1271;11;CORINTHIANS/SP;FLUMINENSE/RJ;Domingo;0;0;0;0,452717796;0,297096054;0,25018615;0,452717796;0,297096054;0,25018615;0;0;0
1271;12;ATLETICO MADRID/ESP;REAL MADRID/ESP;Domingo;0;0;0;0,277372263;0,240875912;0,481751825;0,481751825;0,277372263;0,240875912;0;0;0
1271;13;LONDRINA/PR;FORTALEZA/CE;Domingo;0;0;0;0,30620155;0,30620155;0,387596899;0,387596899;0,30620155;0,30620155;0;0;0
1271;14;ATHLETICO/PR;BAHIA/BA;Domingo;0;0;0;0,43220339;0,288135593;0,279661017;0,43220339;0,288135593;0,279661017;0;0;0
